Date,Pollster,Client,Sample,Con,Labour,Lib Dem,SNP,Alba,Reform,Green,Others
1 Apr 21,Norstat,Norstat,1009,21%,17%,5%,39%,6%,—,8%,—
30 Mar 21,Survation,Survation,839,18%,19%,8%,38%,3%,1%,11%,2%
29 Mar 21,Ipsos,IPSOS,780,21%,18%,6%,38%,3%,—,12%,2%
18 Mar 21,Survation,Survation,1629,19%,20%,7%,39%,—,1%,11%,3%
12 Mar 21,Survation,Survation,807,21%,20%,8%,39%,—,1%,10%,2%
5 Mar 21,Norstat,Norstat,1013,—,—,—,—,—,—,—,—
15 Feb 21,Ipsos,IPSOS,880,22%,14%,6%,47%,—,—,8%,3%
22 Jan 21,Norstat,Norstat,1206,—,—,—,—,—,—,—,—
13 Jan 21,Survation,Survation,770,17%,19%,8%,40%,—,—,11%,4%
20 Nov 20,Ipsos,IPSOS,833,22%,16%,6%,47%,—,—,7%,2%
11 Nov 20,Norstat,Norstat,1020,20%,17%,6%,46%,—,—,8%,3%
3 Nov 20,Survation,Survation,879,17%,19%,7%,43%,—,2%,10%,2%
2 Oct 20,Ipsos,IPSOS,850,19%,13%,8%,47%,—,—,9%,3%
7 Sept 20,Survation,Survation,845,18%,18%,8%,42%,—,2%,10%,2%
3 Jul 20,Norstat,Norstat,1026,18%,15%,6%,50%,—,—,8%,2%
26 Mar 20,Norstat,Norstat,1023,—,—,—,—,—,—,—,—
22 Jan 20,Survation,Survation,841,21%,19%,9%,38%,—,2%,9%,2%
6 Dec 19,Norstat,Norstat,1020,—,—,—,—,—,—,—,—
22 Nov 19,Norstat,Norstat,2028,—,—,—,—,—,—,—,—
20 Jun 19,Norstat,Norstat,1024,—,—,—,—,—,—,—,—
17 May 19,Norstat,Norstat,1021,—,—,—,—,—,—,—,—
5 Dec 18,Norstat,Norstat,1028,—,—,—,—,—,—,—,—
4 Oct 18,Norstat,Norstat,1024,—,—,—,—,—,—,—,—
8 Jun 18,Norstat,Norstat,1021,—,—,—,—,—,—,—,—
5 Mar 01,Norstat,Norstat,1014,17%,28%,8%,27%,4%,6%,9%,—
